,arc_i_j,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d,i_o,i_d
1,"(75,76)",Agua_Clara_Cesar,Ocana,83,0.16,Agua_Clara_Cesar - Ocana,8.248187,-73.596725,8.25205,-73.35322,75,76
79,"(80,75)",El_Burro,Agua_Clara_Cesar,32,0.16,El_Burro - Agua_Clara_Cesar,8.875795,-73.66139,8.248187,-73.596725,80,75
9,"(59,56)",Barbosa_Ant,Medellin,43,0.16,Barbosa_Ant - Medellin,6.438791,-75.334099,6.253041,-75.564574,59,56
10,"(59,57)",Barbosa_Ant,Medellin,43,0.16,Barbosa_Ant - Medellin,6.438791,-75.334099,6.253041,-75.564574,59,57
80,"(16,6)",Espinal,Neiva,145,0.16,Espinal - Neiva,4.149819,-74.884341,2.934484,-75.2809,16,6
13,"(66,68)",Barrancabermeja,La_Fortuna,80,0.16,Barrancabermeja - La_Fortuna,7.061708,-73.851932,7.107706,-73.624878,66,68
72,"(45,35)",Chiquinquira,Zipaquira,95,0.16,Chiquinquira - Zipaquira,5.614775,-73.819571,5.021476,-73.990955,45,35
70,"(30,22)",Cartago,Zarzal,42,0.16,Cartago - Zarzal,4.747221,-75.911629,4.394865,-76.072854,30,22
96,"(42,39)",La_Dorada,Honda,37,0.16,La_Dorada - Honda,5.472709,-74.667984,5.205118,-74.737081,42,39
46,"(27,29)",Bogota,Madrid,34,0.16,Bogota - Madrid,4.710989,-74.072092,4.733779,-74.262757,27,29
47,"(28,29)",Bogota,Madrid,34,0.16,Bogota - Madrid,4.710989,-74.072092,4.733779,-74.262757,28,29
126,"(57,47)",Medellin,Sonson,104,0.22,Medellin - Sonson,6.253041,-75.564574,5.712002,-75.309798,57,47
71,"(73,59)",Caucasia,Barbosa_Ant,267,0.22,Caucasia - Barbosa_Ant,7.979698,-75.198563,6.438791,-75.334099,73,59
137,"(10,7)",Palmira,Caloto,100,0.22,Palmira - Caloto,3.537972,-76.297166,3.033544,-76.408081,10,7
56,"(69,64)",Bucaramanga,San_Gil,98,0.22,Bucaramanga - San_Gil,7.119349,-73.122742,6.554824,-73.13412,69,64
125,"(56,47)",Medellin,Sonson,104,0.22,Medellin - Sonson,6.253041,-75.564574,5.712002,-75.309798,56,47
44,"(28,21)",Bogota,Fusa,69,0.22,Bogota - Fusa,4.710989,-74.072092,4.345152,-74.361823,28,21
43,"(27,21)",Bogota,Fusa,69,0.22,Bogota - Fusa,4.710989,-74.072092,4.345152,-74.361823,27,21
42,"(26,21)",Bogota,Fusa,69,0.22,Bogota - Fusa,4.710989,-74.072092,4.345152,-74.361823,26,21
22,"(51,48)",Belen_Boy,Duitama,33,0.22,Belen_Boy - Duitama,5.9894,-72.910689,5.826895,-73.032927,51,48
172,"(58,51)",Soata,Belen_Boy,81,0.22,Soata - Belen_Boy,6.336161,-72.68157,5.9894,-72.910689,58,51
179,"(15,14)",Tulua,Buga,27,0.22,Tulua - Buga,4.089869,-76.191499,3.900508,-76.302189,15,14
2,"(75,71)",Agua_Clara_Cesar,San_Alberto,60,0.22,Agua_Clara_Cesar - San_Alberto,8.248187,-73.596725,7.761063,-73.393617,75,71
151,"(5,6)",Popayan,Neiva,266,0.22,Popayan - Neiva,2.444814,-76.614739,2.934484,-75.2809,5,6
124,"(57,54)",Medellin,Rionegro,44,0.22,Medellin - Rionegro,6.253041,-75.564574,6.144837,-75.375085,57,54
0,"(31,17)",Agua_Clara_Casa,Villavicencio,134,0.22,Agua_Clara_Casa - Villavicencio,4.748982,-72.997709,4.151382,-73.63769,31,17
88,"(23,16)",Ibague,Espinal,59,0.22,Ibague - Espinal,4.444676,-75.242438,4.149819,-74.884341,23,16
84,"(39,38)",Honda,Mariquita,35,0.22,Honda - Mariquita,5.205118,-74.737081,5.199505,-74.886835,39,38
82,"(19,16)",Girardot,Espinal,21,0.22,Girardot - Espinal,4.304596,-74.803141,4.149819,-74.884341,19,16
101,"(20,15)",La_Paila,Tulua,227,0.22,La_Paila - Tulua,4.320789,-76.072075,4.089869,-76.191499,20,15
123,"(56,54)",Medellin,Rionegro,44,0.22,Medellin - Rionegro,6.253041,-75.564574,6.144837,-75.375085,56,54
89,"(24,16)",Ibague,Espinal,59,0.22,Ibague - Espinal,4.444676,-75.242438,4.149819,-74.884341,24,16
55,"(69,65)",Bucaramanga,Malaga,204,0.27,Bucaramanga - Malaga,7.119349,-73.122742,6.703858,-72.729891,69,65
7,"(4,1)",Altamira,Mocoa,177,0.27,Altamira - Mocoa,2.063112,-75.787545,1.15234,-76.651055,4,1
8,"(25,20)",Armenia,La_Paila,57,0.27,Armenia - La_Paila,4.535,-75.675689,4.320789,-76.072075,25,20
152,"(5,2)",Popayan,Pasto,247,0.27,Popayan - Pasto,2.444814,-76.614739,1.205884,-77.285787,5,2
155,"(61,50)",Puerto_Araujo,Puerto_Boyaca,126,0.27,Puerto_Araujo - Puerto_Boyaca,6.52273,-74.082355,5.977237,-74.593395,61,50
159,"(54,50)",Rionegro,Puerto_Boyaca,215,0.27,Rionegro - Puerto_Boyaca,6.144837,-75.375085,5.977237,-74.593395,54,50
173,"(47,44)",Sonson,Narino,30,0.27,Sonson - Narino,5.712002,-75.309798,5.611015,-75.174162,47,44
109,"(36,41)",Manizales,La_Felisa,70,0.27,Manizales - La_Felisa,5.070275,-75.513817,5.45025,-75.649796,36,41
163,"(71,68)",San_Alberto,La_Fortuna,91,0.27,San_Alberto - La_Fortuna,7.761063,-73.393617,7.107706,-73.624878,71,68
178,"(60,53)",Tame,Hato_Corozal,90,0.27,Tame - Hato_Corozal,6.457094,-71.745515,6.129631,-71.773682,60,53
165,"(64,58)",San_Gil,Soata,141,0.27,San_Gil - Soata,6.554824,-73.13412,6.336161,-72.68157,64,58
177,"(60,67)",Tame,Arauca,420,0.27,Tame - Arauca,6.457094,-71.745515,7.076172,-70.710457,60,67
106,"(29,19)",Madrid,Girardot,142,0.27,Madrid - Girardot,4.733779,-74.262757,4.304596,-74.803141,29,19
157,"(18,19)",Ricaurte,Girardot,7,0.27,Ricaurte - Girardot,4.277309,-74.772305,4.304596,-74.803141,18,19
59,"(14,9)",Buga,Cali,73,0.27,Buga - Cali,3.900508,-76.302189,3.451647,-76.531985,14,9
75,"(72,70)",Cucuta,Pamplona,81,0.27,Cucuta - Pamplona,7.889097,-72.49669,7.37823,-72.650337,72,70
144,"(33,30)",Pereira,Cartago,36,0.27,Pereira - Cartago,4.808717,-75.690601,4.747221,-75.911629,33,30
98,"(68,61)",La_Fortuna,Puerto_Araujo,105,0.27,La_Fortuna - Puerto_Araujo,7.107706,-73.624878,6.52273,-74.082355,68,61
81,"(21,18)",Fusa,Ricaurte,66,0.27,Fusa - Ricaurte,4.345152,-74.361823,4.277309,-74.772305,21,18
95,"(8,7)",Jamundi,Caloto,46,0.27,Jamundi - Caloto,3.262084,-76.541073,3.033544,-76.408081,8,7
129,"(1,2)",Mocoa,Pasto,103,0.27,Mocoa - Pasto,1.15234,-76.651055,1.205884,-77.285787,1,2
192,"(34,29)",Villeta,Madrid,65,0.27,Villeta - Madrid,5.011346,-74.471083,4.733779,-74.262757,34,29
132,"(44,42)",Narino,La_Dorada,102,0.27,Narino - La_Dorada,5.611015,-75.174162,5.472709,-74.667984,44,42
191,"(34,28)",Villeta,Bogota,101,0.27,Villeta - Bogota,5.011346,-74.471083,4.710989,-74.072092,34,28
